YEAR,MONTH,U.S._STATE,POSTAL.CODE,NERC.REGION,CLIMATE.REGION,OUTAGE.START.DATE,OUTAGE.START.TIME,OUTAGE.RESTORATION.DATE,OUTAGE.RESTORATION.TIME,CAUSE.CATEGORY,CAUSE.CATEGORY.DETAIL,OUTAGE.DURATION,DEMAND.LOSS.MW,CUSTOMERS.AFFECTED
2013,7,California,CA,WECC,West,2013-07-18,23:45:00,2013-07-19,10:05:00,equipment failure,,620.0,200.0,123000.0
2009,3,California,CA,WECC,West,2009-03-08,22:16:00,2009-03-08,23:45:00,system operability disruption,,89.0,150.0,
2009,7,California,CA,WECC,West,2009-07-21,05:34:00,2009-07-21,20:43:00,equipment failure,generator trip,909.0,136.0,1.0
2015,4,California,CA,WECC,West,2015-04-06,08:12:00,2015-04-06,12:08:00,system operability disruption,,236.0,,80000.0
2009,12,California,CA,WECC,West,2009-12-08,06:34:00,2009-12-08,12:00:00,system operability disruption,,326.0,,
2007,9,California,CA,WECC,West,2007-09-03,12:30:00,2007-09-03,17:30:00,severe weather,heatwave,300.0,,
2008,11,California,CA,WECC,West,2008-11-15,09:39:00,2008-11-15,22:10:00,severe weather,wildfire,751.0,211.0,115500.0
2010,6,California,CA,WECC,West,2010-06-25,23:36:00,2010-06-26,01:38:00,islanding,,122.0,,
2008,2,California,CA,WECC,West,2008-02-09,11:59:00,2008-02-09,15:33:00,islanding,,214.0,0.0,0.0
2012,2,California,CA,WECC,West,2012-02-28,02:59:00,2012-02-28,06:12:00,islanding,,193.0,1.0,1.0
2005,4,California,CA,WECC,West,2005-04-22,15:51:00,2005-04-22,15:59:00,severe weather,thunderstorm,8.0,126.0,
2010,11,California,CA,WECC,West,2010-11-21,01:39:00,2010-11-24,16:46:00,severe weather,winter storm,5227.0,75.0,60000.0
2012,9,California,CA,WECC,West,2012-09-06,04:45:00,,,fuel supply emergency,Hydro,,,
2004,7,California,CA,WECC,West,2004-07-20,14:26:00,2004-07-21,14:00:00,severe weather,wildfire,1414.0,214.0,
2013,10,California,CA,WECC,West,2013-10-19,14:32:00,2013-10-19,22:00:00,intentional attack,,448.0,,
2008,7,California,CA,WECC,West,2008-07-07,12:15:00,2008-07-10,17:00:00,severe weather,heatwave,4605.0,0.0,0.0
2007,2,California,CA,WECC,West,2007-02-28,00:45:00,2007-03-02,20:45:00,severe weather,winter storm,4080.0,110.0,671189.0
2007,6,California,CA,WECC,West,2007-06-01,13:00:00,,,fuel supply emergency,,,,
2003,12,California,CA,WECC,West,2003-12-20,15:51:00,2003-12-21,23:45:00,equipment failure,cables,1914.0,150.0,120000.0
2008,11,California,CA,WECC,West,2008-11-07,11:15:00,2008-11-07,23:54:00,system operability disruption,,759.0,430.0,400000.0
2014,4,California,CA,WECC,West,2014-04-08,13:00:00,2014-04-08,13:01:00,intentional attack,vandalism,1.0,,
