antecedent,consequent,support,confidence,lift
"('fires_30day_level=High', 'is_wildfire_season')","('fires_7day_level=High',)",0.2762,0.8286,2.4857
"('fires_7day_level=High', 'is_wildfire_season')","('fires_30day_level=High',)",0.2762,0.9355,2.7285
"('fires_30day_level=High',)","('has_active_fire', 'is_wildfire_season')",0.3333,0.9722,2.0215
"('is_wildfire_season',)","('fires_30day_level=High', 'has_active_fire')",0.3333,0.6796,1.9822
"('fires_30day_level=High', 'has_active_fire')","('is_wildfire_season',)",0.3333,0.9722,1.9822
"('fires_30day_level=High', 'is_wildfire_season')","('has_active_fire',)",0.3333,1.0,1.0881
"('has_active_fire', 'is_wildfire_season')","('fires_30day_level=High',)",0.3333,0.6931,2.0215
"('DEMAND.LOSS.MW_level=Medium', 'fires_30day_level=High')","('is_wildfire_season',)",0.1762,0.9737,1.9852
"('DEMAND.LOSS.MW_level=Medium', 'is_wildfire_season')","('fires_30day_level=High',)",0.1762,0.881,2.5694
"('fires_30day_level=High',)","('fires_7day_level=High', 'has_active_fire')",0.2857,0.8333,2.5
"('fires_7day_level=High',)","('fires_30day_level=High', 'has_active_fire')",0.2857,0.8571,2.5
"('fires_30day_level=High', 'fires_7day_level=High')","('has_active_fire',)",0.2857,1.0,1.0881
"('fires_30day_level=High', 'has_active_fire')","('fires_7day_level=High',)",0.2857,0.8333,2.5
"('fires_7day_level=High', 'has_active_fire')","('fires_30day_level=High',)",0.2857,0.8571,2.5
"('fires_30day_level=High', 'fires_7day_level=High')","('DEMAND.LOSS.MW_level=Medium',)",0.1714,0.6,1.7746
"('DEMAND.LOSS.MW_level=Medium', 'fires_30day_level=High')","('fires_7day_level=High',)",0.1714,0.9474,2.8421
"('DEMAND.LOSS.MW_level=Medium', 'fires_7day_level=High')","('fires_30day_level=High',)",0.1714,1.0,2.9167
"('DEMAND.LOSS.MW_level=Medium', 'fires_30day_level=High')","('has_active_fire',)",0.181,1.0,1.0881
"('acres_30day_level=High',)","('acres_7day_level=High', 'is_high_fire_activity')",0.2095,0.6286,2.3571
"('acres_7day_level=High',)","('acres_30day_level=High', 'is_high_fire_activity')",0.2095,0.6286,2.4
"('acres_30day_level=High', 'is_high_fire_activity')","('acres_7day_level=High',)",0.2095,0.8,2.4
"('acres_7day_level=High', 'is_high_fire_activity')","('acres_30day_level=High',)",0.2095,0.7857,2.3571
"('acres_30day_level=High', 'acres_7day_level=High')","('is_high_fire_activity',)",0.2095,0.8302,1.8352
"('acres_30day_level=High', 'is_high_fire_activity')","('max_frp_level=High',)",0.1905,0.7273,2.1818
"('is_high_fire_activity', 'max_frp_level=High')","('acres_30day_level=High',)",0.1905,0.7547,2.2642
"('acres_30day_level=High', 'max_frp_level=High')","('is_high_fire_activity',)",0.1905,0.8696,1.9222
"('acres_30day_level=High',)","('CUSTOMERS.AFFECTED_level=Medium', 'is_high_fire_activity')",0.2048,0.6143,2.0156
"('acres_30day_level=High', 'is_high_fire_activity')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2048,0.7818,1.1169
"('CUSTOMERS.AFFECTED_level=Medium', 'is_high_fire_activity')","('acres_30day_level=High',)",0.2048,0.6719,2.0156
"('CUSTOMERS.AFFECTED_level=Medium', 'acres_30day_level=High')","('is_high_fire_activity',)",0.2048,0.7679,1.6974
"('acres_30day_level=High',)","('is_high_fire_activity', 'is_wildfire_season')",0.2429,0.7286,2.0132
"('is_high_fire_activity', 'is_wildfire_season')","('acres_30day_level=High',)",0.2429,0.6711,2.0132
"('acres_30day_level=High', 'is_high_fire_activity')","('is_wildfire_season',)",0.2429,0.9273,1.8906
"('acres_30day_level=High', 'is_wildfire_season')","('is_high_fire_activity',)",0.2429,0.8095,1.7895
"('acres_30day_level=High',)","('fires_7day_level=High', 'is_high_fire_activity')",0.2238,0.6714,2.0735
"('fires_7day_level=High',)","('acres_30day_level=High', 'is_high_fire_activity')",0.2238,0.6714,2.5636
"('acres_30day_level=High', 'is_high_fire_activity')","('fires_7day_level=High',)",0.2238,0.8545,2.5636
"('fires_7day_level=High', 'is_high_fire_activity')","('acres_30day_level=High',)",0.2238,0.6912,2.0735
"('acres_30day_level=High', 'fires_7day_level=High')","('is_high_fire_activity',)",0.2238,0.9592,2.1203
"('acres_30day_level=High',)","('has_active_fire', 'is_high_fire_activity')",0.2619,0.7857,1.7368
"('acres_30day_level=High', 'is_high_fire_activity')","('has_active_fire',)",0.2619,1.0,1.0881
"('acres_30day_level=High', 'has_active_fire')","('is_high_fire_activity',)",0.2619,0.7857,1.7368
"('OUTAGE.DURATION_level=Medium', 'is_high_fire_activity')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1476,0.8158,1.1654
"('OUTAGE.DURATION_level=Medium', 'is_high_fire_activity')","('fires_7day_level=High',)",0.1524,0.8421,2.5263
"('OUTAGE.DURATION_level=Medium', 'fires_7day_level=High')","('is_high_fire_activity',)",0.1524,1.0,2.2105
"('OUTAGE.DURATION_level=Medium', 'is_high_fire_activity')","('has_active_fire',)",0.181,1.0,1.0881
"('acres_7day_level=High',)","('is_high_fire_activity', 'max_frp_level=High')",0.2095,0.6286,2.4906
"('max_frp_level=High',)","('acres_7day_level=High', 'is_high_fire_activity')",0.2095,0.6286,2.3571
"('acres_7day_level=High', 'is_high_fire_activity')","('max_frp_level=High',)",0.2095,0.7857,2.3571
"('is_high_fire_activity', 'max_frp_level=High')","('acres_7day_level=High',)",0.2095,0.8302,2.4906
"('acres_7day_level=High', 'max_frp_level=High')","('is_high_fire_activity',)",0.2095,0.898,1.985
"('acres_7day_level=High', 'is_high_fire_activity')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1905,0.7143,1.0204
