year_month,monthly_fire_count,monthly_acres_burned,avg_fire_size,max_fire_size,most_common_cause
2012-10,482,1459.6499999999999,3.0283195020746887,300.0,Miscellaneous
2012-11,212,771.85,3.640801886792453,350.0,Miscellaneous
2012-12,57,27.85,0.4885964912280702,7.0,Debris Burning
2013-01,167,469.14,2.8092215568862273,335.0,Missing/Undefined
2013-02,219,937.03,4.278675799086757,407.0,Missing/Undefined
2013-03,366,407.58,1.113606557377049,100.0,Missing/Undefined
2013-04,655,2123.09,3.2413587786259543,261.7,Missing/Undefined
2013-05,1307,93021.48,71.17175210405509,30274.0,Missing/Undefined
2013-06,1274,11807.521,9.268069858712716,3870.0,Missing/Undefined
2013-07,1360,103476.26,76.08548529411765,27531.0,Missing/Undefined
2013-08,1288,346462.351,268.9925085403727,255858.0,Lightning
2013-09,671,14503.02,21.61403874813711,8056.0,Miscellaneous
2013-10,569,2745.89,4.825817223198594,376.0,Missing/Undefined
2013-11,551,4949.05,8.981941923774954,3505.0,Miscellaneous
2013-12,296,507.88,1.7158108108108108,100.0,Miscellaneous
2014-01,516,5496.55,10.652228682170543,1980.0,Missing/Undefined
2014-02,222,227.07999999999998,1.0228828828828829,36.9,Debris Burning
2014-03,217,874.52,4.030046082949308,270.0,Debris Burning
2014-04,346,2987.21,8.633554913294798,2143.0,Missing/Undefined
2014-05,803,26439.63,32.926064757160646,14416.0,Missing/Undefined
2014-06,965,11960.26,12.394051813471503,4840.0,Missing/Undefined
2014-07,1447,244880.38999999998,169.2331651693158,47958.0,Lightning
2014-08,840,146469.39,174.36832142857145,115279.2,Lightning
2014-09,537,103253.38,192.27817504655494,97717.0,Miscellaneous
2014-10,345,3977.79,11.529826086956522,3213.0,Missing/Undefined
2014-11,197,276.34999999999997,1.4027918781725888,105.0,Miscellaneous
2014-12,59,36.230000000000004,0.6140677966101695,20.0,Miscellaneous
2015-01,92,108.42,1.1784782608695652,52.0,Debris Burning
2015-02,138,7408.259999999999,53.68304347826086,6533.0,Debris Burning
2015-03,249,154.1,0.6188755020080321,23.0,Debris Burning
2015-04,566,9404.13,16.615070671378092,4000.0,Missing/Undefined
2015-05,690,1627.43,2.358594202898551,300.0,Miscellaneous
2015-06,1206,80015.48,66.34782752902156,51000.0,Miscellaneous
2015-07,1854,509513.39999999997,274.81844660194173,151623.0,Lightning
2015-08,930,83660.4,89.9574193548387,25156.0,Missing/Undefined
2015-09,701,152028.37999999998,216.87358059914405,76067.0,Miscellaneous
2015-10,565,2885.36,5.10683185840708,860.0,Miscellaneous
2015-11,263,571.72,2.1738403041825096,323.0,Debris Burning
2015-12,111,1351.53,12.175945945945946,1288.0,Miscellaneous
