fire_date,daily_fire_count,daily_acres_burned,avg_fire_size,max_fire_size,avg_lat,avg_lon,fires_7day,fires_30day,acres_7day,acres_30day
1999-09-23,37.0,270.4,7.308108108108107,210.0,38.34046913675676,-121.07377618783785,287.0,1230.0,1670.7999999999417,187150.69999999998
1999-09-24,28.0,120.7,4.310714285714286,51.0,38.25008803821429,-121.21070507821427,278.0,1178.0,1675.2999999999417,185790.9
1999-09-25,32.0,3070.1,95.940625,2928.0,38.8203313834375,-121.0920262515625,245.0,1138.0,4101.199999999942,187277.6
1999-09-26,46.0,4423.099999999999,96.15434782608695,2580.0,38.446500674565215,-120.92348032065217,260.0,1124.0,8509.19999999994,191596.8
1999-09-27,46.0,1945.1000000000001,42.28478260869566,900.0,38.783179223695655,-121.52068966630435,269.0,1118.0,10408.999999999942,123510.09999999999
1999-09-28,40.0,64299.5,1607.4875,60390.0,38.044827496749996,-120.81884937474999,275.0,1118.0,74682.59999999995,176850.8
1999-09-29,34.0,453.90000000000003,13.350000000000001,320.0,37.46534098235294,-120.18708592264706,263.0,1121.0,74582.79999999994,172693.59999999998
1999-09-30,38.0,8137.2,214.13684210526316,6800.0,36.91652253157895,-120.11828807921053,264.0,1129.0,82449.59999999993,180754.19999999998
1999-10-01,39.0,56.300000000000004,1.4435897435897438,30.0,37.72843606051282,-120.3269428297436,275.0,1131.0,82385.19999999994,180786.8
1999-10-02,30.0,357.8,11.926666666666668,200.0,36.73142126366667,-119.837075253,273.0,1140.0,79672.89999999995,181128.6
1999-10-03,27.0,4099.1,151.81851851851854,3880.0,36.884628336296295,-120.03548553,254.0,1143.0,79348.89999999994,184989.1
1999-10-04,23.0,181.1,7.873913043478261,165.0,36.73850879521739,-119.4573393747826,231.0,1137.0,77584.89999999995,184976.99999999997
1999-10-05,23.0,34.8,1.5130434782608695,15.0,38.509116669565216,-121.14620434000001,214.0,1126.0,13320.199999999943,184799.8
1999-10-06,15.0,18.4,1.2266666666666666,15.0,36.84789163666667,-119.55926740599999,195.0,1109.0,12884.699999999943,180799.3
1999-10-07,19.0,20.9,1.0999999999999999,10.0,36.42085088052632,-119.61914040105263,176.0,1102.0,4768.399999999942,180762.4
1999-10-08,14.0,2318.6,165.6142857142857,1250.0,36.406413085000004,-119.46861111857143,151.0,1068.0,7030.6999999999425,156352.0
1999-10-09,26.0,12.5,0.4807692307692308,5.0,36.482011938846156,-119.53900425846155,147.0,986.0,6685.399999999941,142132.19999999998
1999-10-10,25.0,24.5,0.98,10.0,36.8325114436,-119.6967979456,145.0,961.0,2610.7999999999415,141814.5
1999-10-11,19.0,14.0,0.7368421052631579,4.0,37.028973124736844,-119.95577500894737,141.0,949.0,2443.6999999999416,141385.8
1999-10-12,20.0,259.8,12.99,180.0,36.595819332000005,-119.15821798300001,138.0,933.0,2668.6999999999416,141340.09999999998
1999-10-13,16.0,51.199999999999996,3.1999999999999997,30.0,37.436060963125,-120.03654319875,139.0,926.0,2701.4999999999413,91829.6
1999-10-14,18.0,215.7,11.983333333333333,210.0,37.71549648166667,-120.29671461666668,138.0,922.0,2896.2999999999415,91893.3
1999-10-15,30.0,464.8,15.493333333333334,280.0,37.399633898333335,-120.144523149,154.0,929.0,1042.4999999999418,92318.3
1999-10-16,44.0,80769.0,1835.659090909091,40000.0,39.01896133795455,-121.48869542681818,172.0,939.0,81798.99999999994,173018.9
1999-10-17,42.0,677.6,16.133333333333333,197.0,37.35709550309524,-120.14140799761905,189.0,944.0,82452.09999999995,173580.30000000002
1999-10-18,33.0,66.2,2.0060606060606063,50.0,37.15439018666667,-119.94594706545455,203.0,912.0,82504.29999999994,173002.3
1999-10-19,25.0,52.4,2.096,25.0,36.476118164,-119.3066778188,208.0,906.0,82296.89999999994,173039.6
1999-10-20,20.0,76.3,3.815,35.0,37.797018543,-120.2909443925,212.0,889.0,82321.99999999994,173070.6
1999-10-21,27.0,232.0,8.592592592592593,200.0,36.56443839185185,-119.41135243,221.0,882.0,82338.29999999994,173276.7
1999-10-22,15.0,373.7,24.913333333333334,300.0,36.184559383999996,-118.839380226,206.0,851.0,82247.19999999994,173096.7
